juego_id,TEMPORADA,Zona,Q,P,lnQ,lnP
127400,22-23,Cancha 2,45,1000.0,3.8066624897703196,6.907755278982137
127400,22-23,Cancha 3,54,900.0,3.9889840465642745,6.802394763324311
127400,22-23,Cancha Vip 2,10,1000.0,2.302585092994046,6.907755278982137
127400,22-23,Cancha Vip 3,9,900.0,2.1972245773362196,6.802394763324311
127400,22-23,Front Row Vip,13,1100.0,2.5649493574615367,7.003065458786462
127400,22-23,McCormick,59,140.0,4.07753744390572,4.941642422609304
127400,22-23,Platea Cabecera,127,140.0,4.844187086458591,4.941642422609304
127400,22-23,Preferente,124,425.0,4.820281565605037,6.052089168924417
127400,22-23,Preferente Cabecera,14,325.0,2.6390573296152584,5.783825182329737
127400,22-23,Preferente Central,187,425.0,5.231108616854587,6.052089168924417
127400,22-23,Preferente Fondo,24,325.0,3.1780538303479458,5.783825182329737
127400,22-23,Preferente Tunel,126,425.0,4.836281906951478,6.052089168924417
127400,22-23,Zona Boing,57,245.0,4.04305126783455,5.501258210544727
127400,22-23,Zona Elektra,51,245.0,3.9318256327243257,5.501258210544727
127400,22-23,Zona Mercado libre,43,245.0,3.7612001156935624,5.501258210544727
127400,22-23,Zona Miniso,14,140.0,2.6390573296152584,4.941642422609304
127400,22-23,Zona Pepsi,59,245.0,4.07753744390572,5.501258210544727
127400,22-23,Zona Sabritas,11,70.0,2.3978952727983707,4.248495242049359
127400,22-23,Zona Toyota,24,245.0,3.1780538303479458,5.501258210544727
127400,22-23,Zona Zapata,60,245.0,4.0943445622221,5.501258210544727
127401,22-23,Banco Azteca,22,200.0,3.091042453358316,5.298317366548036
127401,22-23,Barrera Cabecera,36,100.0,3.58351893845611,4.605170185988092
127401,22-23,Barrera Central,144,150.0,4.969813299576001,5.0106352940962555
127401,22-23,Cancha 1,42,1550.0,3.7376696182833684,7.346010209913293
127401,22-23,Cancha 2,41,1400.0,3.713572066704308,7.24422751560335
127401,22-23,Cancha 3,64,1200.0,4.1588830833596715,7.090076835776092
127401,22-23,Cancha Vip 2,18,1400.0,2.8903717578961645,7.24422751560335
127401,22-23,Front Row Vip,12,1550.0,2.4849066497880004,7.346010209913293
127401,22-23,General,143,80.0,4.962844630259907,4.382026634673881
127401,22-23,McCormick,72,200.0,4.276666119016055,5.298317366548036
127401,22-23,Platea 2,177,300.0,5.176149732573829,5.703782474656201
127401,22-23,Platea Cabecera,118,200.0,4.770684624465665,5.298317366548036
127401,22-23,Platea Cabecera 2,69,150.0,4.23410650459726,5.0106352940962555
127401,22-23,Preferente,87,600.0,4.465908118654584,6.396929655216146
127401,22-23,Preferente Cabecera,165,450.0,5.10594547390058,6.1092475827643655
127401,22-23,Preferente Central,102,600.0,4.624972813284271,6.396929655216146
127401,22-23,Preferente Fondo,58,450.0,4.060443010546419,6.1092475827643655
127401,22-23,Preferente Tunel,83,450.0,4.418840607796598,6.1092475827643655
127401,22-23,Zona Boing,56,350.0,4.02535169073515,5.857933154483459
127401,22-23,Zona Elektra,17,350.0,2.833213344056216,5.857933154483459
127401,22-23,Zona Mercado libre,15,350.0,2.70805020110221,5.857933154483459
